direction	speed
Up	22.77
Up	28.19
Down	20.96
Down	19.97
Up	30.12
Down	24.51
Down	24.05
Down	28.18
Down	21.85
Up	22.68
Down	20.38
Down	17.26
Down	23.29
Down	22.16
Down	28.33
Down	22.98
Down	21.77
Up	18.71
Down	25.45
Up	26
Down	22.82
Down	15.48
Down	25.26
Up	28.74
Up	28.87
Up	28.79
Down	22.68
Up	21.24
Down	24.45
Down	19.43
Up	25.19
Up	26.7
Down	20.84
Up	24.76
Up	25.89
Down	21.7
Down	21.54
Down	20.34
Down	21.51
Down	21.6
Down	25.15
Down	22.26
Down	25.78
Down	22.81
Down	24.72
Down	29.69
Up	25.9
Up	17.32
Down	29.92
Up	21.57
Down	20.32
Up	28.81
Up	26.18
Down	23.39
Down	28.38
Down	18.64
Down	26.01
Up	30.03
Down	20.22
Down	25.76
Up	27.89
Down	22.51
Up	30.36
Up	17.31
Down	20.41
Up	24.63
Down	23.53
Down	28.46
Down	19.29
Down	18.63
Up	23.98
Up	29.47
Down	19.36
Up	25.13
Up	27.76
Up	26.03
Up	27.21
Down	23.16
Up	22.12
Up	25.01
Down	22.46
Down	21.91
Up	24.18
Up	30.02
Down	26.48
Down	15.2
Up	23.59
Up	29.99
Up	30.12
Down	16.6
Down	19.4
Up	22.95
Down	24.43
Up	17.81
Down	22.98
Down	16.7
Down	25.38
Up	25.39
Down	23.7
Up	21.37
Down	25.96
Down	17.64
Up	21.84
Up	25.57
Up	26.51
Up	24.23
Down	26.7
Down	22.66
Up	22.7
Down	13.74
Up	29.19
Up	22.9
Down	27.41
Up	24.52
Up	28.73
Up	25.02
Up	20.22
Up	24.63
Down	24.05
Up	24.67
Up	28.07
Up	24.68
Down	11.88
Down	23.02
Up	25.95
Up	24.7
Up	21.53
Down	23.21
Up	21.04
Down	24.07
Down	22.13
Down	25.01
Down	25.81
Up	27.7
Up	21.08
Down	27.09
Down	21.41
Up	29.96
Down	26.46
Up	24.24
Down	19.56
Down	19.65
Up	30.48
Up	28.57
Up	23.61
Down	21.41
Up	21.29
Up	22.66
Up	23.35
Up	26.5
Up	30.71
Down	23.21
Down	25.59
Down	26.13
Down	24.2
Up	27.69
Down	17.56
Down	25.11
Down	22.06
Up	25.84
Up	26.39
Up	24.63
Down	28.41
Up	26.61
Up	21.54
Down	21.73
Down	24.09
Down	21.01
Down	20.64
Down	25.17
Down	24.56
Up	24.05
Up	25.05
Up	20.93
Up	21.23
Down	20.74
Down	24.67
Down	20.04
Up	28.71
Up	15.08
Down	22.88
Down	19.73
Down	25.45
Up	29.09
Up	26.77
Down	21.13
Down	25.46
Up	23.21
Down	20.1
Down	21.78
Down	32.95
Down	27.44
Up	24.19
Up	25.89
Up	26.16
Down	21.97
Down	22.79
Down	21.71
Up	16.66
Up	17.63
Up	29.51
Down	25.5
Up	23.87
Up	31.1
Up	27.65
Down	20.94
Down	26.95
Down	20.84
Up	26.27
Down	32.84
Up	19.55
Down	26.69
Down	22.38
Down	22.49
Down	20.72
Up	22.18
Up	30.41
Up	25.21
Down	25.16
Up	19.11
Up	27.48
Up	25.46
Down	25.49
Up	22.52
Down	17.82
Up	21.01
Up	22.96
Up	24.82
Down	23.57
Up	22.43
Down	13.7
Up	25.25
Down	22.43
Down	19.77
Up	29.95
Down	22.67
Down	22.89
Up	25.79
Up	20.97
Up	22.81
Up	26.22
Down	22.71
Up	25.26
Up	22.39
Up	27.02
Down	26.23
Down	21.81
Down	22.59
Up	16.63
Down	25.85
Down	18.75
Down	25.36
Down	23.01
Up	23.05
Down	18.17
Down	25.31
Down	25.58
Down	25.98
Down	20.18
Down	21.96
Down	26.67
Down	21.29
Up	27.54
Up	22.33
Up	22.72
Down	18.79
Up	33.34
Up	32.82
Down	15.9
Up	31.01
Up	32.32
Up	23.69
Down	23.75
Down	21.97
Down	26.51
Down	28.45
Up	24.84
Up	27.18
Up	24.07
Down	25.52
Up	31.42
Down	23.89
Down	12.91
Down	22.92
Up	22.45
Down	22.66
Up	31.23
Down	26.95
Down	25.53
Down	26.91
Down	21.84
Down	21.46
Up	29.42
Up	27.31
Down	26.2
Up	28.62
Down	27.75
Up	22.78
Up	19.16
Down	24.61
Down	19.96
Up	20.65
Down	25.84
Up	22.22
Down	21.6
Down	26.5
Up	20.79
Up	16.01
Up	18.12
Down	24.02
Up	22.29
Down	19.95
Up	29.62
Down	24.03
Up	34.92
Up	24.87
Up	25.25
Down	16.05
Down	19.1
Up	25.32
Down	23.01
Down	17.87
Up	19.66
Down	23.11
Down	19.96
Up	22.33
Up	21.82
Up	16.69
Down	20.25
Up	19.7
Up	27.81
Up	25.71
Down	21.17
Down	19.7
Down	23.43
Down	21.48
Down	26.79
Down	24.59
Down	23.32
Up	25.82
Up	29.81
Down	22.65
Up	27.01
Up	21.63
Up	20.88
Up	24.52
Down	16.66
Up	21.7
Up	32.35
Up	25.18
Down	26.05
Down	23.4
Up	28.91
Up	22.49
Up	24.12
Up	31.26
Up	27.94
Up	25.69
Up	28.49
Up	27.07
Down	17.77
Down	19.38
Down	19.58
Down	25.96
Up	29.97
Up	26.6
Down	20.99
Up	24.07
Up	25.73
Up	34.97
Down	21.46
Down	21.67
Up	28.22
Down	26.29
Up	23.7
Down	19.45
Up	19.67
Up	22.11
Up	24.59
Up	23.54
Down	23.1
Down	20.38
Up	23.92
Down	26.44
Up	22.84
Down	19.35
Down	23.35
Up	22.2
Down	21.06
Up	31.84
Up	23.27
Down	26.48
Down	28.2
Up	19.49
Up	20.88
Up	20.97
Up	34.15
Up	23.04
Up	28.41
Up	31.07
Up	26.73
Down	26.65
Up	19.58
Down	21.71
Up	24.29
Up	20.66
Up	24.89
Down	13.8
Down	20.04
Up	32.54
Down	15.6
Down	23.51
Up	26.76
Up	28.96
Up	32.91
Up	28.36
Up	30.08
Down	23.82
Down	19.3
Down	21
Up	19.35
Down	28.78
Down	29.61
Up	24.91
Down	25.19
Up	30.65
Down	26.54
Up	19.93
Down	25.31
Up	28.69
Up	29.33
Down	23.46
Down	15.83
Down	21.54
Up	25.89
Down	26.98
Up	25.73
Up	24.27
Down	21.26
Up	24.5
Up	27.34
Up	23.22
Up	21.68
Down	23.67
Down	21.18
Down	32.01
Down	22.06
Down	10.27
Up	20.91
Down	17.18
Down	23.59
Up	33.61
Down	23.67
Down	19.64
Up	30.72
Up	28.74
Down	17.2
Down	26.85
Down	25.33
Down	15.46
Down	24.07
Up	25.84
Up	25.98
Down	24.02
Down	17.56
Up	29.05
Up	21.68
Down	18.77
Up	26
Up	25.77
Down	17.89
Down	25.33
Up	22.64
Up	21.58
Up	23.5
Up	30.37
Down	26.36
Up	22.43
Up	25.09
Up	29.76
Down	27.84
Up	30.02
Up	28.96
Up	21.29
Up	25.52
Up	25.73
Up	24.76
Up	30.03
Up	24.94
Up	23.84
Up	26.07
Down	23.38
Down	26.96
Down	22.35
Up	19.62
Down	24.94
Up	27.22
Down	23.02
Down	24.97
Down	23.94
