Name	Location	Diam(km)	age(Ma)	N/S	Lat	Long	LogDiam()	LogAge()	Buried	Drilled
Haviland	"Kansas, U.S.A."	0.015	0.001	N	37.583333	-99.166667	-1.8239087	-3	N	N
Dalgaranga	"Western Australia, Australia"	0.024	0.27	S	-27.633333	117.28333	-1.6197888	-0.56863624	N	N
Sikhote Alin	Russia	0.027	0.000055	N	46.116667	134.66667	-1.5686362	-4.2596373	N	N
Campo Del Cielo	Argentina	0.05	0.004	S	-27.633333	-61.7	-1.30103	-2.39794	N	Y
Sobolev	Russia	0.053	0.001	N	46.3	137.86667	-1.2757241	-3	N	Y
Veevers	"Western Australia, Australia"	0.08	1	S	-22.966667	125.36667	-1.09691	0	N	N
Ilumets	Estonia	0.08	0.002	N	57.966667	27.416667	-1.09691	-2.69897	N	Y
Morasko	Poland	0.1	0.01	N	52.483333	16.9	-1	-2	N	N
Kaalijrv	Estonia	0.11	0.004	N	58.4	22.666667	-0.95860731	-2.39794	N	N
Wabar	Saudi Arabia	0.116	0.00014	N	21.5	50.466667	-0.93554201	-3.853872	N	N
Henbury	"Northern Territory, Australia"	0.157	0.0042	S	-24.566667	133.13333	-0.80410035	-2.3767507	N	N
Odessa	"Texas, U.S.A."	0.168	0.05	N	31.75	-102.48333	-0.77469072	-1.30103	N	Y
Boxhole	"Northern Territory, Australia"	0.17	0.054	S	-22.616667	135.2	-0.76955108	-1.2676062	N	N
Macha	Russia	0.3	0.007	N	60.1	117.58333	-0.52287875	-2.154902	N	N
Aouelloul	Mauritania	0.39	3	N	20.25	-12.683333	-0.40893539	0.47712125	N	N
Amguid	Algeria	0.45	0.1	N	26.083333	4.3833333	-0.34678749	-1	N	N
Monturaqui	Chile	0.46	1	S	-23.933333	-68.283333	-0.33724217	0	N	N
Kalkkop	South Africa	0.64	1.8	S	-32.716667	24.566667	-0.19382003	0.25527251	N	Y
Wolfe Creek	"Western Australia, Australia"	0.875	0.3	S	-19.166667	127.8	-0.05799195	-0.52287875	N	N
Tswaing (formerly        Pretoria Saltpan)	South Africa	1.13	0.22	S	-25.4	28.083333	0.05307844	-0.65757732	N	Y
Barringer	"Arizona, U.S.A."	1.186	0.049	N	35.033333	-111.01667	0.07408469	-1.3098039	N	Y
Tabun-Khara-Obo	Mongolia	1.3	150	N	44.1	109.6	0.11394335	2.1760913	N	N
Saarijrvi	Finland	1.5	600	N	65.283333	28.383333	0.17609126	2.7781513	Y	
Karikkoselk	Finland	1.5	1.88	N	62.216667	25.25	0.17609126	0.27415785	N	
Liverpool	"Northern Territory, Australia"	1.6	150	S	-12.4	134.05	0.20411998	2.1760913	N	N
Talemzane	Algeria	1.75	3	N	33.316667	4.0333333	0.24303805	0.47712125	Y	Y
Lonar	India	1.83	0.052	N	19.966667	76.516667	0.26245109	-1.2839967	N	Y
Tenoumer	Mauritania	1.9	2.5	N	22.916667	-10.4	0.2787536	0.39794001	N	N
B.P. Structure	Libya	2	120	N	25.316667	24.333333	0.30103	2.0791812	N	N
Tvren	Sweden	2	455	N	58.766667	17.416667	0.30103	2.6580114	Y	Y
Holleford	"Ontario, Canada"	2.35	550	N	44.466667	-76.633333	0.37106786	2.7403627	Y	Y
Bee        Bluff	"Texas, U.S.A."	2.4	40	N	29.033333	-99.85	0.38021124	1.60206	N	Y
West Hawk	"Manitoba, Canada"	2.44	100	N	49.766667	-95.183333	0.38738983	2	Y	Y
Roter Kamm	Namibia	2.5	3.7	S	-27.766667	16.3	0.39794001	0.56820172	N	N
Viewfield	"Saskatchewan, Canada"	2.5	190	N	49.583333	-103.06667	0.39794001	2.2787536	Y	Y
Zeleny Gai	Ukraine	2.5	80	N	48.066667	32.75	0.39794001	1.90309	Y	Y
Rotmistrovka	Ukraine	2.7	120	N	49	32	0.43136376	2.0791812	Y	Y
Shunak	Kazakhstan	2.8	45	N	47.2	72.7	0.44715803	1.6532125	N	Y
Goyder	"Northern Territory, Australia"	3	1400	S	-13.15	135.03333	0.47712125	3.146128	N	N
Iso-Naakkima	Finland	3	1000	N	62.183333	27.15	0.47712125	3	Y	Y
Gusev	Russia	3	49	N	48.433333	40.533333	0.47712125	1.6901961	Y	Y
Granby	Sweden	3	470	N	58.416667	14.933333	0.47712125	2.6720979	Y	Y
Zapadnaya	Ukraine	3.2	165	N	49.733333	29	0.50514998	2.2174839	Y	Y
Newporte	"North Dakota, U.S.A."	3.2	500	N	48.966667	-101.96667	0.50514998	2.69897	Y	Y
New Quebec	"Quebec, Canada"	3.44	1.4	N	61.283333	-73.666667	0.53655844	0.14612804	N	N
Ouarkziz	Algeria	3.5	70	N	29	-7.55	0.54406804	1.845098	N	N
Flynn Creek	"Tennessee, U.S.A."	3.8	360	N	36.283333	-85.666667	0.5797836	2.5563025	N	Y
Steinheim	Germany	3.8	15	N	48.683333	10.066667	0.5797836	1.1760913	N	Y
Brent	"Ontario, Canada"	3.8	396	N	46.083333	-78.483333	0.5797836	2.5976952	Y	Y
Mount        Toondina	"South Australia, Australia"	4	110	S	-27.95	135.36667	0.60205999	2.0413927	N	N
Suvasvesi N	Finland	4	1000	N	62.7	28.166667	0.60205999	3	Y	Y
Glasford	"Illinois, U.S.A."	4	430	N	40.6	-89.783333	0.60205999	2.6334685	Y	Y
Mishina Gora	Russia	4	300	N	58.716667	28.05	0.60205999	2.4771213	N	Y
Ile Rouleau	"Quebec, Canada"	4	300	N	50.683333	-73.883333	0.60205999	2.4771213	N	N
Riachao Ring	Brazil	4.5	200	S	-7.7166667	-46.65	0.65321251	2.30103	N	N
Rio Cuarto	Argentina	4.5	0.1	S	-32.866667	-64.233333	0.65321251	-1	N	N
Dobele	Latvia	4.5	290	N	56.583333	23.25	0.65321251	2.462398	Y	Y
Mizarai	Lithuania	5	500	N	54.016667	23.9	0.69897	2.69897	Y	Y
Gow	"Saskatchewan, Canada"	5	250	N	56.45	-104.48333	0.69897	2.39794	N	N
Gardnos	Norway	5	500	N	60.65	9	0.69897	2.69897	N	N
Goat Paddock	"Western Australia, Australia"	5.1	50	S	-18.333333	126.66667	0.70757018	1.69897	N	Y
Chiyli	Kazakhstan	5.5	46	N	49.166667	57.85	0.74036269	1.6627578	N	Y
Sderfjrden	Finland	5.5	600	N	63.033333	21.583333	0.74036269	2.7781513	Y	Y
Foelsche	"Northern Territory, Australia"	6	545	S	-16.666667	136.78333	0.77815125	2.7363965	Y	N
Tin Bider	Algeria	6	70	N	27.6	5.1166667	0.77815125	1.845098	N	N
Middlesboro	"Kentucky, U.S.A."	6	300	N	36.616667	-83.733333	0.77815125	2.4771213	N	Y
Maple        Creek	"Saskatchewan,        Canada"	6	75	N	49.8	-109.1	0.77815125	1.8750613	Y	Y
Kursk	Russia	6	250	N	51.7	36	0.77815125	2.39794	Y	Y
Chukcha	Russia	6	70	N	75.7	97.8	0.77815125	1.845098	N	Y
Decaturville	"Missouri, U.S.A."	6	300	N	37.9	-92.716667	0.77815125	2.4771213	N	Y
Sksjrvi	Finland	6	560	N	61.4	22.4	0.77815125	2.748188	N	Y
Rock        Elm	"Wisconsin, U.S.A."	6	505	N	44.716667	-92.233333	0.77815125	2.7032914		
Pilot	"Northwest Territories, Canada"	6	445	N	60.283333	-111.01667	0.77815125	2.64836	N	N
