Age(months)	Gender	Dominant Hand	Dominant	non-dominant	Dominant	Non-dominant	Differences
117	male	right	0.02208481	0.01351534	0.35335689	0.21624544	0.13711145
101	male	right	0.01607459	0.02146844	0.25719338	0.34349506	-0.08630168
135	male	right	0.03353454	0.03108486	0.53655265	0.49735779	0.03919486
119	male	right	0.02773156	0.03100775	0.44370494	0.49612403	-0.05241909
124	female	right	0.03017502	0.02425418	0.48280024	0.38806694	0.09473330
127	female	left	0.03274394	0.02635741	0.52390308	0.42171850	0.10218458
101	male	left	0.02844141	0.02380386	0.45506257	0.38086170	0.07420087
131	male	left	0.02463661	0.02520161	0.39418576	0.40322581	-0.00904005
119	female	left	0.02821670	0.02048760	0.45146727	0.32780168	0.12366559
105	male	right	0.03293808	0.01693193	0.52700922	0.27091094	0.25609828
138	male	right	0.03528582	0.02594707	0.56457304	0.41515309	0.14941995
137	male	right	0.04079967	0.01861158	0.65279478	0.29778522	0.35500956
96	male	left	0.02629503	0.02108815	0.42072048	0.33741038	0.08331010
126	male	left	0.02001201	0.01456240	0.32019212	0.23299840	0.08719372
126	female	right	0.02148228	0.01507613	0.34371643	0.24121815	0.10249828
114	male	left	0.02675227	0.03824092	0.42803638	0.61185468	-0.18381830
120	male	left	0.03477051	0.03254149	0.55632823	0.52066385	0.03566438
110	male	left	0.02906977	0.02567394	0.46511628	0.41078306	0.05433322
117	male	left	0.02930832	0.02543235	0.46893318	0.40691760	0.06201558
125	female	right	0.04065041	0.02892682	0.65040650	0.46282904	0.18757746
133	female	left	0.02996704	0.02692515	0.47947258	0.43080237	0.04867021
118	female	right	0.03139717	0.02431315	0.50235479	0.38901045	0.11334434
136	male	left	0.04003203	0.03855050	0.64051241	0.61680802	0.02370439
102	female	right	0.03098853	0.01537752	0.49581655	0.24604029	0.24977626
116	male	left	0.01954652	0.01327845	0.31274433	0.21245519	0.10028914
112	male	left	0.02748008	0.02212879	0.43968123	0.35406063	0.08562060
100	female	left	0.03122073	0.02757100	0.49953169	0.44113593	0.05839576
100	female	left	0.01735207	0.01997204	0.27763318	0.31955263	-0.04191945
132	female	left	0.02391772	0.02358491	0.38268357	0.37735849	0.00532508
96	female	left	0.02667378	0.01500375	0.42678047	0.24006002	0.18672045
108	female	right	0.02527806	0.02321802	0.40444894	0.37148827	0.03296067
96	female	right	0.03546099	0.03014772	0.56737589	0.48236358	0.08501231
96	male	right	0.01763668	0.01768972	0.28218695	0.28303556	-0.00084861
137	female	left	0.03121099	0.03098853	0.49937578	0.49581655	0.00355923
114	male	left	0.02449180	0.03590664	0.39186872	0.57450628	-0.18263756
114	male	right	0.02577984	0.02253775	0.41247744	0.36060401	0.05187343
96	female	right	0.01886792	0.01533272	0.30188679	0.24532352	0.05656327
104	female	right	0.02136296	0.02348520	0.34180731	0.37576327	-0.03395596
94	female	right	0.01689475	0.01944390	0.27031593	0.31110247	-0.04078654
90	female	left	0.02444988	0.02278943	0.39119804	0.36463081	0.02656723
108	male	right	0.02977077	0.02881844	0.47633224	0.46109510	0.01523714
119	male	right	0.02631579	0.02467308	0.42105263	0.39476931	0.02628332
97	female	right	0.03114295	0.02899391	0.49828714	0.46390258	0.03438456
122	female	left	0.04378284	0.03929273	0.70052539	0.62868369	0.07184170
110	female	right	0.03792188	0.02588662	0.60675009	0.41418587	0.19256422
117	female	left	0.03463803	0.02749519	0.55420852	0.43992301	0.11428551
105	female	right	0.03812429	0.02037490	0.60998856	0.32599837	0.28399019
137	male	right	0.04312204	0.03528582	0.68995257	0.56457304	0.12537953
139	male	right	0.02058460	0.01982947	0.32935364	0.31727147	0.01208217
114	male	right	0.02528445	0.02973536	0.40455120	0.47576569	-0.07121449
101	female	left	0.02208968	0.03529827	0.35343495	0.56477233	-0.21133738
118	female	right	0.03463803	0.03850597	0.55420852	0.61609549	-0.06188697
105	female	right	0.03760812	0.02930832	0.60172997	0.46893318	0.13279679
136	female	right	0.03345601	0.03012956	0.53529609	0.48207291	0.05322318
117	male	left	0.02665956	0.02680965	0.42655292	0.42895442	-0.00240150
99	male	left	0.02146383	0.03010235	0.34342134	0.48163757	-0.13821623
137	male	left	0.02552974	0.02581311	0.40847587	0.41300981	-0.00453394
138	female	left	0.03351206	0.01911680	0.53619303	0.30586886	0.23032417
111	female	left	0.03209243	0.03903201	0.51347882	0.62451210	-0.11103328
96	male	right	0.04000000	0.03703704	0.64000000	0.59259259	0.04740741
144	male	right	0.04000000	0.03703704	0.64000000	0.59259259	0.04740741
216	female	right	0.06250000	0.04347826	1	0.69565217	0.30434783
144	male	right	0.04166667	0.04166667	0.66666667	0.66666667	0
132	female	right	0.03734130	0.02500000	0.59746079	0.40000000	0.19746079
132	female	right	0.04859086	0.03602305	0.77745384	0.57636888	0.20108496
96	female	right	0.03501401	0.02461841	0.56022409	0.39389463	0.16632946
72	female	right	0.03225806	0.02439024	0.51612903	0.39024390	0.12588513
84	female	right	0.02857143	0.02222222	0.45714286	0.35555556	0.10158730
NA	female	right	0.02702703	0.03225806	0.43243243	0.51612903	-0.08369660
NA	female	right	0.04378284	0.04349717	0.70052539	0.69595476	0.00457063
NA	female	right	0.03736921	0.02763194	0.59790732	0.44211108	0.15579624
NA	male	right	0.03415301	0.03381806	0.54644809	0.54108894	0.00535915
NA	male	right	0.03332223	0.03832886	0.53315561	0.61326179	-0.08010618
NA	female	right	0.02405581	0.03853565	0.38489295	0.61657033	-0.23167738
NA	male	right	0.01754386	0.04166667	0.28070175	0.66666667	-0.38596492
NA	female	right	0.04938272	0.03611412	0.79012346	0.57782593	0.21229753
NA	female	right	0.04178855	0.03554924	0.66861680	0.56878777	0.09982903
NA	male	right	0.03765060	0.03263708	0.60240964	0.52219321	0.08021643
NA	male	right	0.02777778	0.02500000	0.44444444	0.40000000	0.04444444
NA	female	right	0.05497526	0.04539265	0.87960418	0.72628234	0.15332184
NA	female	right	0.04478280	0.04192872	0.71652485	0.67085954	0.04566531
NA	female	right	0.04557885	0.03061849	0.72926162	0.48989590	0.23936572
NA	female	right	0.03502627	0.02653928	0.56042032	0.42462845	0.13579187
NA	female	right	0.03124024	0.03762227	0.49984380	0.60195636	-0.10211256
NA	female	right	0.02307870	0.04277160	0.36925917	0.68434559	-0.31508642
NA	female	right	0.04378284	0.02255809	0.70052539	0.36092939	0.33959600
NA	female	right	0.04789272	0.02801905	0.76628352	0.44830485	0.31797867
NA	female	right	0.02631579	0.03125000	0.42105263	0.50000000	-0.07894737
NA	male	right	0.03328895	0.03120125	0.53262317	0.49921997	0.03340320
NA	male	right	0.03445899	0.03763643	0.55134390	0.60218291	-0.05083901
NA	female	right	0.02857143	0.02772387	0.45714286	0.44358192	0.01356094
NA	female	right	0.04163197	0.03703704	0.66611157	0.59259259	0.07351898
NA	male	right	0.03125000	0.02560819	0.50000000	0.40973111	0.09026889
