country	life.exp	TV.person	Doctors.person	sqrtTV.person	sqrtDoctors.person	log10Doctors.person	log10TV.person
Argentina	70.5	0.25	0.0027027	0.5	0.05198752	-2.56820215836169	-0.602059991327962
Bangladesh	53.5	0.003175	0.0001622	0.05634362	0.01273498	-3.78994915012486	-2.49825627037201
Brazil	65	0.25	0.001462	0.5	0.03823596	-2.83505262737816	-0.602059991327962
Canada	76.5	0.588235	0.0022272	0.76696499	0.04719292	-2.65224078206953	-0.230449138525569
China	70	0.125	0.0015552	0.35355339	0.03943615	-2.8082137524178	-0.903089986991944
Colombia	71	0.178571	0.0006447	0.42257713	0.02539184	-3.19064232978889	-0.748189069314208
Egypt	60.5	0.066667	0.0016234	0.25819889	0.04029115	-2.78957445836891	-1.1760890875887
Ethiopia	51.5	0.001988	2.73e-05	0.0445878	0.0052228	-4.56383735295924	-2.70158361993871
France	78	0.384615	0.0024814	0.62017367	0.04981355	-2.60530322210812	-0.414973782265517
Germany	76	0.384615	0.0028902	0.62017367	0.05376033	-2.53907210330192	-0.414973782265517
India	57.5	0.022727	0.0004047	0.15075567	0.02011702	-3.39286679560843	-1.64345788805124
Indonesia	61	0.041667	0.0001346	0.20412415	0.01160361	-3.87095494011204	-1.38020776736965
Iran	64.5	0.043478	0.0003342	0.20851441	0.01828181	-3.47599355444263	-1.3617304417923
Italy	78.5	0.263158	0.0042918	0.51298918	0.06551218	-2.36736052457193	-0.579783422899052
Japan	79	0.555556	0.001642	0.74535599	0.04052204	-2.78462684721658	-0.255272157667859
Kenya	61	0.010417	0.0001313	0.10206207	0.01145948	-3.88173527391052	-1.9822573358385
Korea-North	70	0.011111	0.0027027	0.10540926	0.05198752	-2.56820215836169	-1.95424685240586
Korea-South	70	0.204082	0.0009381	0.45175395	0.03062819	-3.0277508640374	-0.69019529829915
Mexico	72	0.151515	0.0016667	0.38924947	0.04082483	-2.77814256458086	-0.819544369836568
Morocco	64.5	0.047619	0.0002052	0.21821789	0.01432524	-3.68782264356022	-1.32221972902862
Myanmar(Burma)	54.5	0.001689	0.0002869	0.04109975	0.01693942	-3.542269451754	-2.77237035042899
Pakistan	56.5	0.013699	0.000423	0.11704115	0.02056725	-3.37365963262496	-1.86331113432774
Peru	64.5	0.071429	0.0009843	0.26726124	0.03137279	-3.00687251489429	-1.14612542991916
Philippines	64.5	0.113636	0.0009416	0.33709993	0.03068582	-3.02613355016462	-0.944484061894734
Poland	73	0.25641	0.0020833	0.50636968	0.04564355	-2.68124818614289	-0.591065041321198
Romania	72	0.166667	0.0017889	0.40824829	0.04229549	-2.7474139359346	-0.778150381795548
Russia	69	0.3125	0.003861	0.55901699	0.06213698	-2.41330019837595	-0.505149978319906
South_Africa	64	0.090909	0.0007463	0.30151134	0.02731792	-3.1270865583796	-1.04139311945292
Spain	78.5	0.384615	0.0036364	0.62017367	0.06030227	-2.43932835090716	-0.414973782265517
Sudan	53	0.043478	7.97e-05	0.20851441	0.00892644	-4.09854167860389	-1.3617304417923
Taiwan	75	0.3125	0.0010363	0.55901699	0.03219114	-2.98451450184555	-0.505149978319906
Tanzania	52.5	NA	3.96e-05	NA	0.00629579	-4.40230481407449	NA
Thailand	68.5	0.090909	0.0002048	0.30151134	0.01431056	-3.68867004769621	-1.04139311945292
Turkey	70	0.2	0.000841	0.4472136	0.02900074	-3.07520400420209	-0.698970004336019
Ukraine	70.5	0.333333	0.0044248	0.57735027	0.06651901	-2.35410635453889	-0.477121689014362
United_Kingdom	76	0.333333	0.0016367	0.57735027	0.04045567	-2.7860309175853	-0.477121689014362
United_States	75.5	0.769231	0.0024752	0.87705802	0.04975186	-2.60638970364471	-0.113943222018512
Venezuela	74.5	0.178571	0.0017361	0.42257713	0.04166667	-2.76042526291679	-0.748189069314208
Vietnam	65	0.034483	0.000323	0.18569534	0.01797213	-3.4907974776689	-1.46239495784822
Zaire	54	NA	4.31e-05	NA	0.00656631	-4.36552272983927	NA
