Date	Weight	Month	Year	Day of Week	Day of Year	"Days since July 19, 2014"
07/20/2014	175.8	7	2014	Su	201	1
07/21/2014	174.8	7	2014	M	202	2
07/22/2014	173	7	2014	T	203	3
07/23/2014	172.4	7	2014	W	204	4
07/24/2014	173	7	2014	Th	205	5
07/25/2014	173.6	7	2014	F	206	6
07/26/2014	173	7	2014	Sa	207	7
07/27/2014	172.8	7	2014	Su	208	8
08/08/2014	174.8	8	2014	F	220	20
08/09/2014	172.4	8	2014	Sa	221	21
08/10/2014	174	8	2014	Su	222	22
08/11/2014	172.2	8	2014	M	223	23
08/12/2014	174	8	2014	T	224	24
08/13/2014	173.6	8	2014	W	225	25
08/14/2014	173	8	2014	Th	226	26
08/15/2014		8	2014	F	227	27
08/16/2014	174	8	2014	Sa	228	28
08/17/2014	174	8	2014	Su	229	29
08/18/2014	173.8	8	2014	M	230	30
08/19/2014	173.4	8	2014	T	231	31
08/20/2014	173.6	8	2014	W	232	32
08/21/2014	172.2	8	2014	Th	233	33
08/22/2014	171.8	8	2014	F	234	34
08/23/2014	174	8	2014	Sa	235	35
08/24/2014	175.8	8	2014	Su	236	36
08/25/2014	174.4	8	2014	M	237	37
08/26/2014	174.6	8	2014	T	238	38
08/27/2014	174.8	8	2014	W	239	39
08/28/2014	173	8	2014	Th	240	40
08/29/2014	172.2	8	2014	F	241	41
08/30/2014	174.8	8	2014	Sa	242	42
08/31/2014	171.6	8	2014	Su	243	43
09/01/2014	172.4	9	2014	M	244	44
09/02/2014	173	9	2014	T	245	45
09/03/2014	173	9	2014	W	246	46
09/04/2014	173.6	9	2014	Th	247	47
09/05/2014	174	9	2014	F	248	48
09/06/2014	175.8	9	2014	Sa	249	49
09/07/2014	174.4	9	2014	Su	250	50
09/08/2014	173.2	9	2014	M	251	51
09/09/2014	172.4	9	2014	T	252	52
09/10/2014	172.6	9	2014	W	253	53
09/11/2014	172	9	2014	Th	254	54
09/12/2014	172.4	9	2014	F	255	55
09/13/2014	172	9	2014	Sa	256	56
09/14/2014	173.4	9	2014	Su	257	57
09/15/2014	172.6	9	2014	M	258	58
09/16/2014	171.8	9	2014	T	259	59
09/17/2014	171.6	9	2014	W	260	60
09/18/2014	172.2	9	2014	Th	261	61
09/19/2014	172.4	9	2014	F	262	62
09/20/2014	174.2	9	2014	Sa	263	63
09/21/2014	173.4	9	2014	Su	264	64
09/22/2014	172	9	2014	M	265	65
09/23/2014	171.6	9	2014	T	266	66
09/24/2014	173	9	2014	W	267	67
09/25/2014	172.6	9	2014	Th	268	68
09/26/2014	171.8	9	2014	F	269	69
09/27/2014		9	2014	Sa	270	70
09/28/2014		9	2014	Su	271	71
09/29/2014	174.8	9	2014	M	272	72
09/30/2014	172	9	2014	T	273	73
10/01/2014		10	2014	W	274	74
10/02/2014	172.6	10	2014	Th	275	75
10/03/2014	172.4	10	2014	F	276	76
10/04/2014	171.6	10	2014	Sa	277	77
10/05/2014	171.4	10	2014	Su	278	78
10/06/2014	171	10	2014	M	279	79
10/07/2014	171.4	10	2014	T	280	80
10/08/2014	171.4	10	2014	W	281	81
10/09/2014	169.8	10	2014	Th	282	82
10/17/2014	173.6	10	2014	F	290	90
10/18/2014	172.6	10	2014	Sa	291	91
10/19/2014	171.6	10	2014	Su	292	92
10/20/2014	171.6	10	2014	M	293	93
10/21/2014	172.8	10	2014	T	294	94
10/22/2014	171.8	10	2014	W	295	95
10/23/2014	172	10	2014	Th	296	96
10/31/2014	174.8	10	2014	F	304	104
11/01/2014	174	11	2014	Sa	305	105
