Year	Month	Onetime.Arrivals	Ontime.pct	Arrival.Delays	Delayed.pct	Flights.Cancelled	Cancelled.Pct	Diverted	Flight.Operations
1994	January	298679	70.47	102894	24.28	20595	4.86	1693	423861
1994.083333	February	285691	73.83	82899	21.42	16927	4.37	1437	386954
1994.166667	March	359579	82.56	69869	16.04	5207	1.2	861	435516
1994.25	April	349540	83.03	68154	16.19	2469	0.59	832	420995
1994.333333	May	382448	87.63	51653	11.84	1680	0.38	651	436432
1994.416667	June	348739	81.77	73902	17.33	2685	0.63	1164	426490
1994.5	July	352562	79.45	86079	19.4	3812	0.86	1283	443736
1994.583333	August	377805	83.75	69738	15.46	2427	0.54	1116	451086
1994.666667	September	378949	87.95	49619	11.52	1747	0.41	546	430861
1994.75	October	386128	85.93	60334	13.43	2192	0.49	715	449369
1994.833333	November	345798	80.75	78920	18.43	2661	0.62	848	428227
1994.916667	December	353876	79.25	87347	19.56	4338	0.97	960	446521
1995	January	343248	73.83	106076	22.82	14261	3.07	1348	464933
1995.083333	February	330086	78.91	77518	18.53	9954	2.38	754	418312
1995.166667	March	365962	79.3	87450	18.95	7352	1.59	739	461503
1995.25	April	358610	81.3	75886	17.2	5841	1.32	737	441074
1995.333333	May	361709	80.68	79394	17.71	6417	1.43	821	448341
1995.416667	June	333704	75.94	98995	22.53	5800	1.32	924	439423
1995.5	July	360250	80.08	82721	18.39	5823	1.29	1062	449856
1995.583333	August	365274	79.85	83551	18.27	7608	1.66	990	457423
1995.666667	September	367820	85.58	56496	13.15	4998	1.16	460	429774
1995.75	October	367789	82.09	74648	16.66	4891	1.09	689	448017
1995.833333	November	332491	77.85	87507	20.49	6280	1.47	813	427091
1995.916667	December	298845	67.66	129008	29.21	12680	2.87	1155	441688
1996	January	280274	62.67	135407	30.28	29595	6.62	1948	447224
1996.083333	February	302186	71.9	102123	24.3	14587	3.47	1369	420265
1996.166667	March	341394	75.94	98320	21.87	8923	1.98	932	449569
1996.25	April	349598	80.18	80139	18.38	5522	1.27	748	436007
1996.333333	May	354283	78.92	86618	19.29	7044	1.57	978	448923
1996.416667	June	331011	74.67	103031	23.24	8023	1.81	1246	443311
1996.5	July	345089	75.29	102746	22.42	9350	2.04	1191	458376
1996.583333	August	345288	74.69	107914	23.34	7948	1.72	1144	462294
1996.666667	September	344942	78.69	84779	19.34	7720	1.76	911	438352
1996.75	October	352409	77.19	95060	20.82	7947	1.74	1161	456577
1996.833333	November	338996	77.91	85489	19.65	9547	2.19	1056	435088
1996.916667	December	303811	66.63	138419	30.36	12330	2.7	1437	455997
1997	January	314069	68.41	125428	27.32	18142	3.95	1484	459123
1997.083333	February	312633	75.21	93574	22.51	8613	2.07	836	415656
1997.166667	March	360021	78.1	91646	19.88	8347	1.81	972	460986
1997.25	April	357148	79.85	82232	18.38	7054	1.58	860	447294
1997.333333	May	380332	83.16	71091	15.54	5179	1.13	759	457361
1997.416667	June	343169	76.14	99354	22.04	6785	1.51	1429	450737
1997.5	July	361733	77.5	95852	20.54	7887	1.69	1299	466771
1997.583333	August	366589	78.56	92040	19.73	6926	1.48	1053	466608
1997.666667	September	377904	85.03	59437	13.37	6355	1.43	735	444431
1997.75	October	374504	81.55	76597	16.68	7533	1.64	613	459247
1997.833333	November	338488	78.22	86633	20.02	6727	1.55	877	432725
1997.916667	December	331575	73.54	109950	24.38	8215	1.82	1164	450904
1998	January	339238	75.05	97609	21.59	13880	3.07	1274	452001
1998.083333	February	311243	75.39	90074	21.82	10484	2.54	1031	412832
1998.166667	March	348692	75.85	100030	21.76	9847	2.14	1134	459703
1998.25	April	350230	79.12	84481	19.09	6952	1.57	981	442644
