Time(sec)	Speed	Age(yr)	Dominant	Gender#	HD	hand used
18.12	3.3112583	11.906913	0	1	R	L
21.21	2.8288543	16.366872	0	1	R	L
38.12	1.5739769	5.0376454	0	1	R	L
21.34	2.8116214	11.356605	1	0	R	R
26.31	2.2805017	7.5564682	1	1	R	R
39.19	1.5310028	4.5776865	1	1	R	R
32	1.8750000	9.2566735	0	0	R	L
18.63	3.2206119	13.533196	1	0	R	R
40.12	1.4955135	3.7563313	1	0	R	R
28.03	2.1405637	3.7563313	1	0	R	R
25.63	2.3410066	5.7796030	1	1	R	R
22	2.7272727	7.1841205	1	0	R	R
24.25	2.4742268	5.0595483	1	1	L	L
19.28	3.1120332	7.1923340	1	0	R	R
29.78	2.0147750	5.6016427	1	1	R	R
41.56	1.4436959	NA	1	1	R	R
23.69	2.5327142	7.1266256	1	1	L	L
19.4	3.0927835	9.0622861	1	0	R	R
25.19	2.3818976	7.8795346	1	0	R	R
26.81	2.2379709	9.0924025	1	1	R	R
23	2.6086957	7.2607803	1	0	R	R
30.09	1.9940179	4.9007529	1	1	R	R
19.35	3.1007752	13.927447	1	1	R	R
17.22	3.4843206	12.577687	1	1	R	R
18.53	3.2379924	16.980151	1	1	R	R
21.75	2.7586207	10.368241	1	1	R	R
37.66	1.5932023	4.7173169	1	0	R	R
14.03	4.2765502	12.898015	1	0	R	R
20.78	2.8873917	8.1724846	1	1	R	R
19.16	3.1315240	11.030801	1	0	R	R
30.37	1.9756338	5.1307324	1	0	R	R
33.84	1.7730496	3.3127995	1	0	R	R
23	2.6086957	10.970568	1	0	R	R
24.62	2.4370431	8	1	0	L	L
17.31	3.4662045	11.723477	1	1	R	R
47.13	1.2730745	3.5728953	1	0	R	R
16.53	3.6297641	14.045175	1	0	R	R
19.06	3.1479538	15.638604	1	1	R	R
20.59	2.9140359	11.608487	1	1	R	R
40.43	1.4840465	4.0136893	1	1	R	R
25.56	2.3474178	9.1279945	1	0	R	R
35.16	1.7064846	8.0109514	1	0	R	R
12.47	4.8115477	14.447639	1	0	R	R
25.5	2.3529412	9.0568104	1	1	R	R
36.07	1.6634322	7.8631075	1	0	R	R
27.75	2.1621622	5.5304586	1	0	R	R
28.31	2.1193924	11.077344	0	0	R	L
38.94	1.5408320	6.0835044	1	1	L	L
26.87	2.2329736	13.544148	0	0	R	L
42.38	1.4157622	4.8432580	1	1	R	R
33	1.8181818	6.8774812	1	1	R	R
20.07	2.9895366	14.428474	0	0	R	L
25.66	2.3382697	10.160164	0	0	R	L
19.06	3.1479538	16.386037	1	1	R	R
33.07	1.8143332	8.7939767	0	0	R	L
25.94	2.3130301	8.7939767	0	0	R	L
27.59	2.1747010	8.7665982	0	0	R	L
26	2.3076923	6.1108830	1	1	R	R
35.34	1.6977929	4.7939767	1	1	L	L
21.09	2.8449502	15.227926	0	1	R	L
20.69	2.8999517	13.859001	0	1	R	L
16.81	3.5693040	15.498973	1	1	R	R
29.28	2.0491803	4.8377823	1	0	L	L
33.62	1.7846520	5.1115674	1	0	R	R
32.75	1.8320611	9.4784394	0	0	R	L
26.28	2.2831050	12.169747	1	1	R	R
25.72	2.3328149	11.712526	1	1	R	R
22.89	2.6212320	9.3497604	1	1	R	R
26.29	2.2822366	7.2635181	1	1	L	L
46.37	1.2939400	9.1471595	0	1	R	L
23.87	2.5136154	13.390828	1	0	R	R
45.31	1.3242110	4.2381930	1	1	R	R
29.63	2.0249747	9.4839151	0	0	R	L
18.22	3.2930845	12.320329	0	1	R	L
18.65	3.2171582	13.913758	1	0	R	R
20.34	2.9498525	9.8316222	0	1	R	L
24.34	2.4650781	13.015743	0	0	R	L
28.28	2.1216407	12.851472	0	1	R	L
18.19	3.2985157	12.186174	0	0	R	L
37.47	1.6012810	5.8590007	0	0	R	L
22.16	2.7075812	15.923340	1	0	L	L
17.47	3.4344591	14.847365	1	1	R	R
47	1.2765957	3.2936345	1	0	R	R
30.68	1.9556714	7.3702943	0	0	R	L
15.25	3.9344262	16.563997	1	0	R	R
24.81	2.4183797	11.581109	0	0	R	L
