Year	Year_no	Date	Winner	Mins	Secs	Time.in.Sec	Distance (mi)	Speed
1875	1	May 17, 1875	Aristides	2	37.75	157.75	1.5	34.231379
1876	2	May 15, 1876	Vagrant	2	38.25	158.25	1.5	34.123223
1877	3	May 22, 1877	Baden-Baden	2	38	158.00	1.5	34.177215
1878	4	May 21, 1878	Day Star	2	37.25	157.25	1.5	34.340223
1879	5	May 20, 1879	Lord Murphy	2	37	157.00	1.5	34.394904
1880	6	May 18, 1880	Fonso	2	37.5	157.50	1.5	34.285714
1881	7	May 17, 1881	Hindoo	2	40	160.00	1.5	33.750000
1882	8	May 16, 1882	Apollo	2	40.25	160.25	1.5	33.697348
1883	9	May 23, 1883	Leonatus	2	43	163.00	1.5	33.128834
1884	10	May 16, 1884	Buchanan	2	40.25	160.25	1.5	33.697348
1885	11	May 14, 1885	Joe Cotton	2	37.25	157.25	1.5	34.340223
1886	12	May 14, 1886	Ben Ali	2	36.5	156.50	1.5	34.504792
1887	13	May 11, 1887	Montrose	2	39.25	159.25	1.5	33.908948
1888	14	May 14, 1888	Macbeth II	2	38.25	158.25	1.5	34.123223
1889	15	May 9, 1889	Spokane	2	34.5	154.50	1.5	34.951456
1890	16	May 14, 1890	Riley	2	45	165.00	1.5	32.727273
1891	17	May 13, 1891	Kingman	2	52.25	172.25	1.5	31.349782
1892	18	May 11, 1892	Azra	2	41.5	161.50	1.5	33.436533
1893	19	May 10, 1893	Lookout	2	39.25	159.25	1.5	33.908948
1894	20	May 15, 1894	Chant	2	41	161.00	1.5	33.540373
1895	21	May 6, 1895	Halma	2	37.5	157.50	1.5	34.285714
1896	22	May 6, 1896	Ben Brush	2	7.75	127.75	1.25	35.225049
1897	23	May 12, 1897	Typhoon II	2	12.5	132.50	1.25	33.962264
1898	24	May 4, 1898	Plaudit	2	9	129.00	1.25	34.883721
1899	25	May 4, 1899	Manuel	2	12	132.00	1.25	34.090909
1900	26	May 3, 1900	Lieut. Gibson	2	6.25	126.25	1.25	35.643564
1901	27	April 29, 1901	His Eminence	2	7.75	127.75	1.25	35.225049
1902	28	May 3, 1902	Alan-a-Dale	2	8.75	128.75	1.25	34.951456
1903	29	May 2, 1903	Judge Himes	2	9	129.00	1.25	34.883721
1904	30	May 2, 1904	Elwood	2	8.5	128.50	1.25	35.019455
1905	31	May 10, 1905	Agile	2	10.75	130.75	1.25	34.416826
1906	32	May 2, 1906	Sir Huon	2	8.8	128.80	1.25	34.937888
1907	33	May 6, 1907	Pink Star	2	12.6	132.60	1.25	33.936652
1908	34	May 5, 1908	Stone Street	2	15.2	135.20	1.25	33.284024
1909	35	May 3, 1909	Wintergreen	2	8.2	128.20	1.25	35.101404
1910	36	May 10, 1910	Donau	2	6.4	126.40	1.25	35.601266
1911	37	May 13, 1911	Meridian	2	5	125.00	1.25	36
1912	38	May 11, 1912	Worth	2	9.4	129.40	1.25	34.775889
1913	39	May 10, 1913	Donerail	2	4.8	124.80	1.25	36.057692
1914	40	May 9, 1914	Old Rosebud	2	3.4	123.40	1.25	36.466775
1915	41	May 8, 1915	Regret	2	5.4	125.40	1.25	35.885167
1916	42	May 13, 1916	George Smith	2	4	124.00	1.25	36.290323
1917	43	May 12, 1917	*Omar Khayyam	2	4.6	124.60	1.25	36.115570
1918	44	May 11, 1918	Exterminator	2	10.8	130.80	1.25	34.403670
1919	45	May 10, 1919	Sir Barton	2	9.8	129.80	1.25	34.668721
1920	46	May 8, 1920	Paul Jones	2	9	129.00	1.25	34.883721
1921	47	May 7, 1921	Behave Yourself	2	4.2	124.20	1.25	36.231884
1922	48	May 13, 1922	Morvich	2	4.6	124.60	1.25	36.115570
1923	49	May 19, 1923	Zev	2	5.4	125.40	1.25	35.885167
1924	50	May 17, 1924	Black Gold	2	5.2	125.20	1.25	35.942492
1925	51	May 16, 1925	Flying Ebony	2	7.6	127.60	1.25	35.266458
1926	52	May 15, 1926	Bubbling Over	2	3.8	123.80	1.25	36.348950
1927	53	May 14, 1927	Whiskery	2	6	126.00	1.25	35.714286
1928	54	May 19, 1928	Reigh Count	2	10.4	130.40	1.25	34.509202
1929	55	May 18, 1929	Clyde Van Dusen	2	10.8	130.80	1.25	34.403670
1930	56	May 17, 1930	Gallant Fox	2	7.6	127.60	1.25	35.266458
1931	57	May 16, 1931	Twenty Grand	2	1.8	121.80	1.25	36.945813
1932	58	May 7, 1932	Burgoo King	2	5.2	125.20	1.25	35.942492
1933	59	May 6, 1933	Brokers Tip	2	6.8	126.80	1.25	35.488959
1934	60	May 5, 1934	Cavalcade	2	4	124.00	1.25	36.290323
1935	61	May 4, 1935	Omaha	2	5	125.00	1.25	36
1936	62	May 2, 1936	Bold Venture	2	3.6	123.60	1.25	36.407767
1937	63	May 8, 1937	War Admiral	2	3.2	123.20	1.25	36.525974
1938	64	May 7, 1938	Lawrin	2	4.8	124.80	1.25	36.057692
1939	65	May 6, 1939	Johnstown	2	3.4	123.40	1.25	36.466775
1940	66	May 4, 1940	Gallahadion	2	5	125.00	1.25	36
1941	67	May 3, 1941	Whirlaway	2	1.4	121.40	1.25	37.067545
1942	68	May 2, 1942	Shut Out	2	4.4	124.40	1.25	36.173633
1943	69	May 1, 1943	Count Fleet	2	4	124.00	1.25	36.290323
1944	70	May 6, 1944	Pensive	2	4.2	124.20	1.25	36.231884
1945	71	June 9, 1945	Hoop Jr.	2	7	127.00	1.25	35.433071
1946	72	May 4, 1946	Assault	2	6.6	126.60	1.25	35.545024
1947	73	May 3, 1947	Jet Pilot	2	6.8	126.80	1.25	35.488959
1948	74	May 1, 1948	Citation	2	5.4	125.40	1.25	35.885167
1949	75	May 7, 1949	Ponder	2	4.2	124.20	1.25	36.231884
1950	76	May 6, 1950	Middleground	2	1.6	121.60	1.25	37.006579
1951	77	May 5, 1951	Count Turf	2	2.6	122.60	1.25	36.704731
1952	78	May 3, 1952	Hill Gail	2	1.6	121.60	1.25	37.006579
1953	79	May 2, 1953	Dark Star	2	2	122.00	1.25	36.885246
1954	80	May 1, 1954	Determine	2	3	123.00	1.25	36.585366
1955	81	May 7, 1955	Swaps	2	1.8	121.80	1.25	36.945813
1956	82	May 5, 1956	Needles	2	3.4	123.40	1.25	36.466775
1957	83	May 4, 1957	Iron Liege	2	2.2	122.20	1.25	36.824877
1958	84	May 3, 1958	Tim Tam	2	5	125.00	1.25	36
1959	85	May 2, 1959	*Tomy Lee	2	2.2	122.20	1.25	36.824877
1960	86	May 7, 1960	Venetian Way	2	2.4	122.40	1.25	36.764706
1961	87	May 6, 1961	Carry Back	2	4	124.00	1.25	36.290323
1962	88	May 5, 1962	Decidedly	2	0.4	120.40	1.25	37.375415
1963	89	May 4, 1963	Chateaugay	2	1.8	121.80	1.25	36.945813
1964	90	May 2, 1964	Northern Dancer	2	0	120.00	1.25	37.500000
1965	91	May 1, 1965	Lucky Debonair	2	1.2	121.20	1.25	37.128713
1966	92	May 7, 1966	Kauai King	2	2	122.00	1.25	36.885246
1967	93	May 6, 1967	Proud Clarion	2	0.6	120.60	1.25	37.313433
1968	94	May 4, 1968	Forward Pass**	2	2.2	122.20	1.25	36.824877
1969	95	May 3, 1969	Majestic Prince	2	1.8	121.80	1.25	36.945813
1970	96	May 2, 1970	Dust Commander	2	3.4	123.40	1.25	36.466775
1971	97	May 1, 1971	Canonero II	2	3.2	123.20	1.25	36.525974
