CatsDogsBoth	Gender	drugsY/N	smokesY/N
	M	No	yes
	M	Yes	no
Has cats	M		no
	M		no
	M	No	no
	M		no
	F	No	
	F	No	no
	F		yes
	M	No	no
	M		yes
	M	No	no
	M		
Has dogs	F	No	no
Has cats	F	No	no
Has cats	F		no
	M		yes
	F	No	no
	M	No	no
	M	No	no
	F	No	no
	F	No	no
	M	No	no
	M	No	no
	M	Yes	yes
Has dogs	M	No	no
	M	No	yes
Has dogs	M	No	no
	M		no
	M	Yes	no
	F		yes
	M	No	no
	F	No	no
Has dogs	F	No	no
	M	No	yes
	M	No	
	M	No	yes
	M		
	F		
	M		no
	M	No	no
	M		no
	M	Yes	no
	M		no
Has cats	F	Yes	no
	M	No	
	M		
	M	Yes	no
	F	Yes	no
	F	No	no
	F	Yes	no
	F	No	no
	M		no
Has dogs	M		
	M	No	no
Has cats	M	No	no
	M		no
	M		yes
Has Both	M	Yes	yes
	M		yes
	M	No	no
	M		no
	M	Yes	yes
	F		yes
	M	No	no
	M	No	no
	M	No	no
Has cats	F	Yes	yes
	F		yes
	M	Yes	no
	F	No	no
	F		no
	M	Yes	no
	F	No	no
Has cats	M		
	F		
	M	Yes	no
Has cats	F	No	no
	F	No	no
	M	No	no
	F	No	no
	M	No	no
Has cats	M	No	no
	F	No	no
	M	No	no
	M		no
	F		no
	F	No	no
	M	No	no
Has cats	F	No	no
	M	No	yes
	M		
	F	Yes	
	M		no
	M	Yes	no
	M		no
Has cats	M		no
	M	No	no
	F	Yes	no
	M	No	no
	M		no
	M	No	no
	M	Yes	no
	M	Yes	no
	F	No	no
	F	No	no
	F	No	no
Has dogs	M	No	no
	F	No	no
	M	No	no
	M		no
	M		no
	M		
	F	No	yes
	M	Yes	no
	M	No	yes
	M	No	
	M	No	no
	F	No	no
	F		no
Has cats	M	No	no
Has cats	M	No	no
	M	Yes	yes
	M	Yes	yes
	F	No	no
	M		no
	M	No	no
	M		no
	M	No	yes
	M		no
	M	Yes	yes
Has dogs	F	No	yes
Has cats	F		no
Has dogs	F	No	no
	M	No	no
	F	No	no
	M		yes
Has cats	M	No	no
	M	No	no
	M	No	no
	F	No	no
	M	No	no
	M	Yes	no
	M		no
	F		no
	M	No	no
	M	Yes	yes
	M	No	no
	F	No	no
	F		no
	F		no
Has dogs	M		no
Has Both	M		no
	M	Yes	yes
	M	No	no
	F	No	no
	F	No	
	F	No	no
Has cats	F	No	no
	F	No	no
Has cats	F		
Has dogs	F	No	
	M		
	F		
	M	No	no
	M		
	M		no
	F	No	no
	F	No	no
Has dogs	F	No	no
	F	No	no
Has cats	M		no
	M	No	no
Has cats	F	No	no
Has dogs	M	No	yes
	M	No	
Has cats	M	No	no
Has dogs	M	No	yes
Has cats	F		
	M	Yes	yes
Has dogs	M	No	no
	F	No	no
Has cats	F	No	no
	M		no
	M	No	no
	F	No	no
	F	No	no
	F	No	no
	F	No	no
	M	No	no
	F	No	no
	M	No	no
	F	Yes	yes
	M		no
Has dogs	M	No	no
	F	No	yes
	M	Yes	yes
	F		no
	F	No	no
Has dogs	F	No	no
	F	No	no
	M	No	no
	F	No	no
Has cats	F	No	yes
	F	No	no
Has cats	F	No	no
Has cats	M		yes
	F	No	no
	F	Yes	
Has Both	F	No	no
Has dogs	F	No	no
	M	No	no
	M	No	no
	M		no
Has cats	F	No	yes
	M	No	no
	M	Yes	no
Has cats	F	No	no
	M	Yes	no
	F	No	no
	M	No	no
	F	No	no
	M	No	yes
Has Both	F	No	no
	F	Yes	yes
Has dogs	F	No	no
	M	No	yes
	F	No	no
Has dogs	M		no
	F	No	no
	M		
	F	No	no
	F		no
	F	No	no
	M		no
	M		
Has dogs	F	Yes	yes
	M	No	yes
Has cats	F	No	yes
Has dogs	M	Yes	no
	M	No	no
	F	No	no
	M	No	no
	M	No	no
Has dogs	F	Yes	no
	F	No	no
Has dogs	M	Yes	no
Has cats	F	No	no
	M	No	no
Has cats	F	No	yes
Has dogs	F		
	M	No	yes
	F	No	
	F	Yes	yes
Has dogs	M	Yes	
Has dogs	M	No	no
	M	No	
	F	No	
Has dogs	F	No	no
	F	No	no
Has Both	F	No	no
	M	No	no
Has cats	F	No	no
Has dogs	F	No	no
Has dogs	M	No	yes
Has dogs	F	No	no
Has cats	F	No	no
	M	No	no
	F	No	no
	F	No	no
	M		no
	F	Yes	no
Has Both	F	No	no
	F	No	yes
	M	Yes	yes
	M		no
	F		
	F		no
Has cats	F	Yes	no
	F	No	
	M	No	no
	F	No	no
Has dogs	M		no
Has dogs	M	No	no
	F	No	no
Has cats	F	No	no
	F	No	yes
Has cats	F	Yes	no
Has dogs	F	No	no
	M	Yes	no
	M		no
	M		no
	M	Yes	no
Has dogs	F	No	no
Has dogs	M	Yes	yes
	M	No	yes
	M	No	no
	M	No	no
Has dogs	F	No	no
Has cats	F		no
Has dogs	M	No	no
	F	Yes	yes
	F	Yes	yes
	M	Yes	yes
	M	No	no
	F		no
	F	No	no
Has cats	F		no
	M	Yes	yes
	M	No	no
Has dogs	M	No	no
	M	No	no
Has cats	M	No	no
Has cats	F	No	no
	M	No	
	F	No	no
Has dogs	M	No	no
	F	No	no
Has cats	F	No	no
Has cats	F	No	no
Has cats	F	Yes	no
	M	No	no
Has Both	F	Yes	yes
Has dogs	F	No	no
	F	No	no
	F		
	M	No	no
	F	No	no
Has cats	F	No	no
	M	No	no
	F	No	no
Has dogs	M		no
	M	Yes	yes
Has Both	M	No	no
Has cats	F	No	no
Has Both	F	No	yes
	F	No	no
Has dogs	F	No	no
	F	No	no
	M		no
	M		no
	M	No	yes
	M	No	no
Has dogs	F		no
	M	Yes	no
	M		yes
	F	No	no
Has dogs	M	No	no
	M	No	no
	M	No	no
	M		yes
	M	No	
	M		no
	M	No	no
Has cats	F	No	no
	F	No	no
	M	No	no
Has dogs	F		yes
Has cats	F	No	no
	M		yes
	F	Yes	yes
Has Both	F	Yes	no
	M	No	no
	M	No	no
Has dogs	M	No	yes
	M	No	no
	M	No	no
	M	No	no
	M		no
	F	No	no
	M	No	no
	F	No	no
Has cats	M	No	no
	M		
	M		yes
	M	No	yes
	M		yes
Has dogs	F		yes
Has dogs	F	No	no
	M	No	no
	M	No	no
	F	No	no
Has cats	M	No	no
	M	No	no
	M	No	no
	M		no
Has dogs	M	No	no
Has Both	M	No	no
	M	No	yes
	F	No	no
	M	Yes	no
	M	No	no
Has dogs	F	Yes	no
Has dogs	M		no
	F	No	no
Has cats	F		no
	M		no
	M	No	no
	M	No	no
	M	No	no
	M		
	M		yes
	F	Yes	no
Has cats	M	No	no
	F	No	no
Has cats	F	No	no
	F	No	no
	M	No	no
	M	Yes	no
	M	No	no
	M	No	no
	F	No	no
	M		no
	M	No	no
Has cats	F	No	no
	M	No	no
	M	No	no
	M	No	
	F	No	no
	F	No	no
	F	No	no
	M		no
	M	No	no
Has dogs	F		yes
	M		
Has cats	F	No	no
	F	No	no
	M	Yes	no
	M	No	no
	F		no
	M	Yes	no
	M	No	no
Has dogs	M	Yes	
	M	Yes	no
	F	No	no
	F	No	no
Has cats	M	No	no
	M	No	no
	M		no
Has dogs	F	No	no
	M		yes
	M		
	M	No	yes
	F	No	no
	M	No	no
	M		
	F		no
	M		
	M	No	yes
	M		no
Has cats	F	No	no
	F	No	yes
Has dogs	F	No	no
	M	No	no
	M	No	no
	F	No	no
	M	No	
	F	No	no
	F	No	no
	M	No	no
	F	No	no
	M		no
	F	No	
	M	No	yes
Has dogs	M	No	
	M	Yes	yes
Has dogs	F	Yes	no
	F	No	no
	F		no
	F	No	no
	F	No	no
	F	No	no
	F	No	no
	M	Yes	yes
	M	No	no
	F	No	no
	M		no
	F	No	yes
Has cats	M		no
	F	No	no
Has dogs	F	Yes	no
	M		
	M	No	no
	F		no
	M		no
Has dogs	M	Yes	yes
	M	No	no
	F	No	no
	F	No	no
Has dogs	M		no
	M	Yes	no
Has Both	F	No	no
	F		yes
	M	No	no
	M	No	no
Has cats	M	No	no
	M	No	no
	M	No	no
	M	No	no
	F	No	no
	M	No	
	M	No	no
	M	No	no
Has dogs	F	No	no
	M	No	no
	M		
Has dogs	F	No	no
	F	No	no
	F	No	no
	M	No	no
	M	Yes	
	M		no
Has cats	M	Yes	yes
	M	No	no
	M	No	no
	M	No	no
	M		no
	M		no
	M	No	yes
Has cats	F	No	yes
	M	No	no
	F		no
	M		yes
Has cats	M	No	no
Has dogs	M		no
	F		no
	M	No	no
	M	No	yes
	F		no
	M		no
	M		no
Has cats	F	No	no
	M	Yes	no
	F		yes
	M	No	no
Has Both	M	No	no
Has Both	F	No	yes
	M	Yes	no
	M	No	no
	M		no
	F	No	no
	M		yes
	M	Yes	no
	M		no
Has dogs	F		no
	M		no
	M	Yes	yes
	M	Yes	yes
	F	Yes	yes
Has dogs	M	Yes	yes
	M		no
	M	No	no
Has cats	M	Yes	no
	M		no
	F		no
	M	No	no
Has cats	F		no
	F		no
	F	No	
Has cats	F	No	no
	M	Yes	no
	M		no
Has dogs	M	Yes	no
	M	Yes	yes
	F	No	no
	M	No	no
	M	No	no
	M	No	yes
	M	No	no
	F	No	no
Has dogs	M	No	no
Has dogs	F	No	no
	F	No	no
	M	No	no
	M	No	yes
	M	No	no
	M	No	yes
	M	Yes	no
	M	No	no
	F	No	no
Has dogs	M		yes
Has Both	M		no
Has cats	F	No	no
Has cats	F		no
	M	No	no
Has dogs	F	No	no
	M		no
	F	No	no
	F		
	F	No	no
Has cats	F	Yes	yes
	M	No	no
	F	Yes	no
Has cats	F	No	no
Has cats	F		no
	F	No	no
	F	No	
	F	Yes	no
	F	No	no
	M		
	M	Yes	no
	F		no
Has dogs	F	No	no
Has dogs	F	No	no
	M	No	no
	F		no
Has dogs	M	No	no
	M		no
	M	No	no
	F	No	no
	F	No	no
Has dogs	M	No	no
	M	Yes	no
	M	No	yes
Has Both	M	No	no
Has dogs	F	No	no
	F	No	yes
Has dogs	M	No	
	M	No	no
	M	No	no
	F	No	yes
	M	No	no
Has dogs	M	Yes	no
	F	No	no
	M	Yes	yes
	F	No	no
Has dogs	F	Yes	no
	M	No	no
	F		no
	M	Yes	yes
	F	No	no
	M	No	no
	M	Yes	yes
	M	No	no
Has cats	M	No	yes
Has cats	F	No	no
Has cats	F	No	no
Has dogs	F	No	no
	M	No	yes
	F	No	no
	M	No	no
Has dogs	M	No	no
Has cats	F	No	no
	M		
	F	No	yes
	F	No	no
	M	No	no
	F	No	no
	M	No	no
Has Both	M		no
	M	No	no
	M		no
Has cats	F	No	no
Has cats	F	No	no
	F	No	no
	M	No	no
	M	No	no
	M	No	no
	M	No	no
	F	No	yes
	M	No	no
	M		no
	M	No	no
	M	No	no
	M		no
Has dogs	M	No	no
	F	No	no
Has dogs	F	Yes	no
	M	No	no
	M	No	no
	M	No	no
	F	No	no
	F	No	no
	M	Yes	yes
	M	No	no
	M		no
	M		no
	F		yes
	M	No	yes
Has cats	F	No	no
Has dogs	F	No	no
Has cats	F		yes
	M	No	no
Has dogs	M	No	no
	M		no
	M		no
Has dogs	F		yes
Has dogs	M	No	yes
	M	No	no
	M		no
	M	No	no
	M	No	no
Has Both	M		yes
Has Both	M	No	no
	M	No	no
	M	No	
Has dogs	M	No	no
	M	No	no
	M	No	yes
Has dogs	F	Yes	no
	F		no
	M	Yes	yes
Has cats	F	Yes	yes
Has dogs	F	No	yes
	M	Yes	no
	M	No	no
	F	No	no
	F	No	no
	M	No	
	M	No	no
	M	No	
Has Both	M	No	yes
	M	No	
Has cats	M	No	no
Has dogs	M	Yes	no
Has cats	M	Yes	
Has dogs	M	No	no
	M	No	no
	F	No	
	M	Yes	yes
	M	No	yes
	F	No	no
	M	No	no
	F	No	yes
	M	No	no
	F	No	no
Has dogs	M	Yes	yes
Has Both	M	No	no
	F		no
	M	No	no
Has dogs	F	No	no
	M	No	no
	M	Yes	no
	M		yes
	M	No	yes
	F		no
	M	No	yes
	M		
Has cats	M	Yes	yes
Has cats	F		no
	F		no
	M	Yes	no
	M	Yes	
	M	No	no
	F	No	no
	F		no
	F	No	
	F	No	no
	M	No	yes
Has dogs	M	Yes	no
	M	No	no
	M	No	no
	M	No	no
	F	No	no
	F	No	no
	M	No	yes
	M	No	no
	M	No	no
	M	No	no
Has dogs	F	No	no
	F	No	no
	M	No	no
Has dogs	F	No	no
	M		yes
	M	Yes	no
	M	No	no
	M	No	yes
	M	No	no
	M		no
	F		yes
	M		
	F	No	no
	M	Yes	yes
	M	No	no
	M	No	yes
	M	Yes	yes
	M	Yes	no
	M		yes
Has dogs	M	No	yes
	M	No	no
	M	No	no
	F	No	no
Has dogs	M	No	no
	M	No	no
	F	No	no
	F	Yes	yes
	M	No	no
Has dogs	M	No	no
Has cats	M		no
	F	No	no
	F	Yes	yes
	M	No	no
	M		yes
	M	Yes	no
	M	No	no
	M	No	no
	F		no
	M	No	no
	M	No	yes
	M	No	no
	M	Yes	no
Has cats	F	No	no
Has dogs	F		no
	M	No	
	M	No	yes
	M	No	no
Has dogs	M	No	no
	M	No	no
	F	No	no
	F	No	no
	F	No	no
	M	Yes	no
	F		
Has dogs	M	No	no
	M	Yes	no
	F		no
	M	No	no
	M	No	no
	M		no
Has cats	M	No	no
	M	No	
	M	No	no
Has dogs	F	Yes	no
	M	No	no
	M		no
	M		no
	M	Yes	yes
	M		no
	M	No	yes
	M		no
	M	No	no
	M	Yes	yes
	M		
	M	No	no
Has cats	F		yes
	M	No	no
	M		no
	M	Yes	yes
	F	No	no
Has dogs	M	No	no
	M	No	no
	F		no
Has dogs	M	No	no
	M		no
Has Both	M	No	no
Has dogs	M	Yes	no
	M		no
Has cats	M		no
	F		no
	F	No	no
	F		no
	F		
	M	No	no
	M		no
Has cats	F		
	M		no
