Name	Born	Died	Age	Gender	Class.Dept	Class	Ticket	Fare	Cabin	Joined	Occupation	Survived	Boat	Body	Nationality	Pounds	Shillings	Pence	Price.Paid	Paidpp
ABBING, Mr Anthony	1870	1912	41	Male	3rd Class Passenger	3rd	5547	£7             11s		Southampton	Blacksmith	LOST			American	7	11		7.55	7.55
ABBOTT, Mr Eugene Joseph	1899	1912	13	Male	3rd Class Passenger	3rd	CA2673	£20             5s		Southampton	Scholar	LOST			American	20	5		20.25	6.75
ABBOTT, Mr Rossmore Edward	1896	1912	16	Male	3rd Class Passenger	3rd	CA2673	£20             5s		Southampton	Jeweller	LOST		190		20	5		20.25	6.75
ABBOTT, Mrs Rhoda Mary 'Rosa'	1873	1946	39	Female	3rd Class Passenger	3rd	CA2673	£20             5s		Southampton		SAVED	A		English	20	5		20.25	6.75
ABELSETH, Miss Kalle (Karen) Marie Kristiane	1895	1969	16	Female	3rd Class Passenger	3rd	348125	£7             13s		Southampton		SAVED	16			7	13		7.65	7.65
ABELSETH, Mr Olaus Jørgensen	1886	1980	25	Male	3rd Class Passenger	3rd	348122	£7             13s	[F] G63	Southampton	Farmer	SAVED	A		Norwegian	7	13		7.65	7.65
ABELSON, Mr Samuel	1882	1912	30	Male	2nd Class Passenger	2nd	3381	£24.00		Cherbourg		LOST				24			24	12
ABELSON, Mrs Anna	1883	1972	28	Female	2nd Class Passenger	2nd	3381	£24.00		Cherbourg		SAVED	10		Russian	24			24	12
ABī SA'B, Mr Jirjis Yūsuf	1867	1912	45	Male	3rd Class Passenger	3rd	2685	£7             4s             6d		Cherbourg	Shoemaker	LOST		312	Syrian	7	4	6	7.23	7.23
ABī SA'B, Mrs Sha'nīnah	1874	1947	38	Female	3rd Class Passenger	3rd	2688	£7             4s             7d		Cherbourg		SAVED	C		Syrian	7	4	7	7.23	7.23
ABī SHADīD, Mr Dāhir	1893	1912	19	Male	3rd Class Passenger	3rd	2698	£7             4s             6d		Cherbourg		LOST		9	Syrian	7	4	6	7.23	7.23
ABī-AL-MUNà, Mr Nāsīf Qāsim	1884	1962	27	Male	3rd Class Passenger	3rd	2699	£18             15s             9d		Cherbourg		SAVED	15		Syrian	18	15	9	18.79	9.395
ABRAHAMSSON, Mr August Abraham Johannes	1892	1961	19	Male	3rd Class Passenger	3rd	3101284	£7             18s             6d		Southampton		SAVED	15		Finnish	7	18	6	7.93	7.93
ÅDAHL, Mr Mauritz	1881	1912	30	Male	3rd Class Passenger	3rd	7076	£7             5s		Southampton	Carpenter / Joiner	LOST		72	Swedish	7	5		7.25	7.25
ADAMS, Mr John	1885	1912	26	Male	3rd Class Passenger	3rd	341826	£8             1s		Southampton		LOST		103	English	8	1		8.05	8.05
AHLIN, Mrs Johanna Persdotter	1871	1912	40	Female	3rd Class Passenger	3rd	7546	£9             9s             6d		Southampton		LOST			Swedish	9	9	6	9.48	9.48
AHMED, Mr Ali	1888	1912	24	Male	3rd Class Passenger	3rd	3101311	£7             1s		Southampton	General Labourer	LOST			Syrian	7	1		7.05	7.05
ÄIJö-NIRVA, Mr Isakki Antonpoika	1870	1912	41	Male	3rd Class Passenger	3rd	3101272	£7             2s             6d		Southampton	General Labourer	LOST			Finnish	7	2	6	7.13	7.13
AKS, Master Philip	1911	1991	0.833333333	Male	3rd Class Passenger	3rd	392091	£9             7s		Southampton		SAVED			English	9	7		9.35	4.675
AKS, Mrs Leah	1891	1967	21	Female	3rd Class Passenger	3rd	392091	£9             7s		Southampton		SAVED			Polish	9	7		9.35	4.675
