Municipality	Location	Route	Owner	Built	Date.Inspected	SD.FO.Status	Condition	YearInspected	AgeAtInspection
Caroline Town	3.6 MI NW TIOGA CL;RTE 79	79  79 36051035	NYSDOT	1963	10/14/15	N	5.14	2015.7836	52.783562
Caroline Town	.3 MI E JCT SH 79 & CR162	79  79 36051041	NYSDOT	1963	8/19/15	N	6.053	2015.6301	52.630137
Caroline Town	.5 MILE EAST OF BESEMER	BANKS ROAD	County	2008	11/20/14	N	6.172	2014.8849	6.8849315
Caroline Town	.9 MI W SLATERVILLE SPNGS	BOICEVILLE ROAD	County	1942	7/9/15	N	4.604	2015.5178	73.517808
Caroline Town	IN SLATERVILLE SPRINGS	BUFFALO ROAD	County	1993	8/13/15	N	5.795	2015.6137	22.613699
Caroline Town	2 MI N OF SPEEDSVILLE	Blackman Hill Rd.	County	1994	11/20/14	N	6.305	2014.8849	20.884932
Caroline Town	4.9 MI SE JCT RTS. 330&79	CENTRAL CHAPEL RD	County	1987	5/14/15	N	4.386	2015.3644	28.364384
Caroline Town	AT GUIDE BOARD CORNERS	CENTRAL CHAPEL RD	County	1966	4/2/15	N	5.583	2015.2493	49.249315
Caroline Town	1 MI SE OF W.SLATERVILLE	CENTRAL CHAPEL RD	County	1966	4/24/15	N	5.614	2015.3096	49.309589
Caroline Town	AT BROOKTONDALE	COOKS CORS-BRK RD	County	1966	6/17/14	N	4.732	2014.4575	48.457534
Caroline Town	1.6 MI SOUTH OF BESEMER	CR113LOUNSBERRYRD	County	2003	6/17/14	N	6.567	2014.4575	11.457534
Caroline Town	.4 MI W SLATERVILLE SPGS.	CREAMERY ROAD	County	1977	5/21/15	N	4.644	2015.3836	38.383562
Caroline Town	2.8 MI W SLATERVLLE SPNGS	HARFORD ROAD	County	1977	10/29/14	N	6.314	2014.8247	37.824658
Caroline Town	1 MI SOUTH OF BESEMER	MIDDAUGH ROAD	County	1978	4/14/15	N	5.102	2015.2822	37.282192
Caroline Town	.3 MILE S OF SPEEDSVILLE	OLD SEVNTY SIX RD	County	2009	7/16/15	N	6.815	2015.5370	6.5369863
Caroline Town	1.5 MI NW OF SPEEDSVILLE	OLD SEVNTY SIX RD	County	1987	7/16/15	N	4.684	2015.5370	28.536986
Caroline Town	IN SPEEDSVILLE	OLD SEVNTY SIX RD	County	2001	8/6/15	N	6.61	2015.5945	14.594521
Caroline Town	.5 MI S OF WEST SLATERVLE	VALLEY ROAD	County	1966	5/14/15	N	5.591	2015.3644	49.364384
Danby Town	5.6 MI NW TIOGA CL-SH 96B	96B 96B36021057	NYSDOT	1929	11/17/15	N	4.217	2015.8767	86.876712
Danby Town	3.3 mi NW Willseville	96B 3602 1010	NYSDOT	1960	11/3/15	N	5.211	2015.8384	55.838356
Danby Town	1.3 MI NORTH OF W DANBY	BROWN ROAD	Town	1943	11/12/14	N	6.179	2014.8630	71.863014
Danby Town	1.8 MI S BUTTERMILK FALLS	COMFORT ROAD	County	1998	5/7/14	N	5.805	2014.3452	16.345205
Danby Town	3.8 MILES NE OF NEWFIELD	JERSEY HILL ROAD	County	2010	11/12/14	N	6.857	2014.8630	4.8630137
Dryden Town	.6 MI NW JCT SH 13 & SH 3	13  13 36033057	NYSDOT	2013	10/27/15	N	6.857	2015.8192	2.8191781
Dryden Town	1.6 MI NE JCT RTS 366 +13	366 366 36011066	NYSDOT	1932	9/18/15	FO	4.547	2015.7123	83.712329
Dryden Town	2.5 MI NE JCT SH 366 & SH	366 366 36011075	NYSDOT	1932	7/15/14	SD	4.516	2014.5342	82.534247
Dryden Town	IN ETNA	COUNTY ROAD 109	County	1975	10/22/15	N	4	2015.8055	40.805479
Dryden Town	IN ETNA	COUNTY ROAD 109	County	1960	11/17/15	N	4.339	2015.8767	55.876712
Dryden Town	1 MI EAST OF ITHACA	DODGE ROAD	County	1935	5/4/15	SD	3.604	2015.3370	80.336986
Dryden Town	3 MI SE DRYDEN-E LAKE RD	EAST LAKE ROAD	County	1999	10/29/15	N	6.436	2015.8247	16.824658
Dryden Town	.7 MI SW OF MCLEAN	FALL CREEK ROAD	County	1965	6/12/15	N	5.535	2015.4438	50.443836
Dryden Town	1 MI NE OF FREEVILLE	FALL CREEK ROAD	County	1965	5/23/14	N	4.864	2014.3890	49.389041
Dryden Town	AT VARNA	FREESE ROAD	County	1920	9/22/15	SD	3.586	2015.7233	95.723288
Dryden Town	1.3 MI E ITHACA CITY LMTS	GAME FARM ROAD	County	1940	8/11/15	FO	4.426	2015.6082	75.608219
Dryden Town	1.8 MILES SE OF VARNA	GENUNG ROAD	County	1940	5/26/15	N	4.719	2015.3973	75.397260
Dryden Town	2.7 MI SE ITHACA CITY LMT	GERMAN CROSS ROAD	County	1983	9/22/15	N	5.567	2015.7233	32.723288
Dryden Town	0.7 MI W OF FREEVILLE	MILL STREET	County	1910	9/3/15	FO	4.345	2015.6712	105.67123
Dryden Town	1.4 MI W JCT SH366 &SH355	PINCKNEY ROAD	County	1990	5/29/14	N	5.88	2014.4055	24.405479
Dryden Town	3.3 MI SE OF VARNA	RINGWOOD ROAD	County	2007	4/28/14	N	6.393	2014.3205	7.3205479
Dryden Town	3.5 MI W OF DRYDEN	RINGWOOD ROAD	County	1988	5/21/15	N	4.789	2015.3836	27.383562
Dryden Town	1.6 MILES NW OF DRYDEN	SOUTH GEORGE ROAD	County	1936	11/3/15	SD	4.537	2015.8384	79.838356
Dryden Town	1.7 MI SE DRYDEN	SOUTHWORTH ROAD	County	1985	4/14/15	N	5.186	2015.2822	30.282192
Dryden Town	ON DRYDEN VILLAGE WEST LN	SPRINGHOUSE ROAD	County	1991	10/21/15	FO	4.966	2015.8027	24.802740
Dryden Town	VARNA	TURKEY HILL ROAD	County	1982	7/9/15	SD	5	2015.5178	33.517808
Dryden Town	1.6 MI SW OF MCLEAN	W MALLORYVILLE RD	County	1915	8/20/15	SD	3.317	2015.6329	100.63288
Dryden Town	6.8 MI SE OF WEST GROTON	WEST DRYDEN ROAD	County	1997	8/19/15	FO	6.848	2015.6301	18.630137
Dryden Town	2 MI SOUTH OF VIL DRYDEN	WEST LAKE ROAD	County	1981	4/13/15	N	5.228	2015.2795	34.279452
Dryden Village	0.4 MI W JCT RTS 13 & 38	13  13 36033118	NYSDOT	1992	6/17/14	N	5.617	2014.4575	22.457534
Dryden Village	.6 MI S JCT SH 38 & SH 13	38  38 36031039	NYSDOT	1953	10/20/15	N	5.271	2015.8000	62.800000
