First Name	Last Name	200m	LongJump	800m	HighJump	100m.hurdles	Javelin	ShotPut
Evelis	Aguilar	24.12	6.23	134.32	1.74	13.84	46.9	13.6
Nadine	Broersen	24.94	6.15	137.55	1.77	13.56	50.8	14.04
Katerina	Cachova	24.32	5.91	138.95	1.77	13.19	37.77	12.38
Vanessa	Chefer	24.11	6.1	134.2	1.68	14.24	45.05	13.06
Ivona	Dadic	24.6	6.05	135.64	1.77	13.84	46.08	13.43
Jessica	Ennis-Hill	23.49	6.34	129.07	1.89	12.84	46.06	13.86
Alysbeth	Felix	24.74	6.22	135.32	1.68	14.07	40.17	11.36
Alina	Fodorova	25.44	6		1.8	14.1	35.44	14.38
Laura	Ikauniece-Admidina	23.76	6.12	129.43	1.77	13.33	55.93	13.52
Katarina	Johnson-Thompson	23.26	6.51	130.47	1.98	13.48	36.36	11.68
Akela	Jones	24.35	6.3	161.12	1.89	13	42	14.09
Hanna	Kasyanova	24.6	5.88	136.58	1.77	13.66	38.1	13.25
Eliska	Klucinova	25.37	6.08	142.81	1.8	14.07	46.73	14.41
Xenia	Krizsan	25.24	6.08	133.46	1.77	13.66	49.78	13.78
Heather	Miller-Koch	24.97	6.16	126.82	1.8	13.56	40.25	12.91
Antoinette	Nana Djimou Ida	25.07	6.43	140.36	1.77	13.37	48.76	14.88
Barbara	Nwaba	24.77	5.81	131.61	1.83	13.81	46.85	14.81
Jennifer	Oeser	24.99	6.19	133.82	1.86	13.69	47.22	14.28
Uhunoma	Osazuwa	24.67	5.72		1.77	13.75	33.42	13.15
Claudia	Rath	24.48	6.55	127.22	1.74	13.63	39.39	12.83
Yorgelis	Rodrguez	24.26	6.25	134.65	1.86	13.61	48.89	13.69
Grit	Sadeiko							
Carolin	Schfer	23.99	6.2	136.52	1.83	13.12	47.99	14.57
Brianne	Theisen-Eaton	24.18	6.48	129.5	1.86	13.18	47.36	13.45
Nafissatou	Thiam	25.1	6.58	136.54	1.98	13.56	53.13	14.91
Anouk	Vetter	23.93	6.1	137.71	1.77	13.47	48.42	14.78
Nadine	Visser	24.34	6.35	134.47	1.68	13.02	42.48	12.84
Ekaterina	Voronina				1.65	15.21		
Kendell	Williams	24.09	6.31	136.24	1.83	13.04	40.93	11.21
Sofia	Yfantidou	26.32	5.51	150.08	1.65	13.99	54.57	12.97
Gyorgyi	Zsivoczky-Farkas	25.38	6.31	131.76	1.86	13.79	48.07	14.39
